index,PLAYER,position,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
1,Ed Rogers,X,BAL,8,1,4,1,0,0,1,2,0,0,0,2,1.000,1.000,4.000,5.000,1,0,0,0,0,-.--,1,4,0,.---,3.000,1.00,.---,.000,.000
2,Zack Greinke,P,KC,33,2,1,1,0,0,1,1,0,0,0,0,.500,.500,2.000,2.500,2,0,0,0,0,0.00,1,4,0,.000,1.500,2.00,.---,.000,.000
2,Jason Johnson,P,DET,33,2,1,1,0,0,1,1,0,0,0,0,.500,.500,2.000,2.500,2,0,0,0,0,1.00,1,4,0,.000,1.500,2.00,.---,.000,.000
4,Cliff Bartosh,P,CHC,19,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,-.--,0,1,0,1.000,.000,-.--,.---,.000,.000
4,Adam Bernero,P,ATL,36,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0,1,0,0,1.00,0,1,0,1.000,.000,-.--,.---,.000,.000
4,Chuck James,P,ATL,2,1,0,1,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,-.--,0,1,0,1.000,.000,-.--,.---,.000,.000
4,Cliff Politte,P,CWS,68,1,1,1,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,-.--,0,1,0,1.000,.000,-.--,.---,.000,.000
4,Matt Wise,P,MIL,49,1,0,1,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,-.--,0,1,0,1.000,.000,-.--,.---,.000,.000
9,Esteban German,X,TEX,5,4,3,3,1,0,0,1,0,1,2,0,.750,.750,1.000,1.750,4,0,0,0,0,-.--,1,4,0,1.000,.250,-.--,.---,.000,.250
10,Brandon Duckworth,P,HOU,7,3,1,2,1,0,0,0,0,0,0,0,.667,.667,1.000,1.667,3,0,0,0,0,1.00,1,3,0,.667,.333,-.--,.---,.000,.000
