year,index,player_url,TEAM,LEAGUE,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO,GO/AO,TB,IBB,BABIP,AB/HR
2003,1,,Texas Rangers,AL,162,5664,826,1506,274,36,239,799,488,1052,65,25,0.266,0.33,0.454,0.784,6293,75,24,42,115,1441,0.83,2569,31,0.287,23.7
2003,2,,Boston Red Sox,AL,162,5769,961,1667,371,40,238,932,620,943,88,35,0.289,0.36,0.491,0.851,6530,53,24,64,126,1479,0.84,2832,61,0.307,24.24
2003,3,,Atlanta Braves,NL,162,5670,907,1608,321,31,235,872,545,933,68,22,0.284,0.349,0.475,0.824,6378,49,65,49,124,1675,1.07,2696,46,0.302,24.13
2003,4,,New York Yankees,AL,163,5605,877,1518,304,14,230,845,684,1042,98,33,0.271,0.356,0.453,0.809,6431,81,25,35,154,1594,1.05,2540,54,0.295,24.37
2003,5,,Chicago White Sox,AL,162,5487,791,1445,303,19,220,766,519,916,77,29,0.263,0.331,0.446,0.777,6148,58,43,41,132,1483,0.86,2446,27,0.279,24.94
2003,6,,Colorado Rockies,NL,162,5518,853,1472,330,31,198,814,619,1134,63,37,0.267,0.344,0.445,0.789,6283,52,55,38,140,1597,1.14,2458,46,0.302,27.87
2003,7,,Milwaukee Brewers,NL,162,5548,714,1423,266,24,196,685,547,1221,99,39,0.256,0.329,0.419,0.748,6270,71,62,40,158,1636,1.2,2325,41,0.294,28.31
2003,7,,St. Louis Cardinals,NL,162,5672,876,1580,342,32,196,827,580,952,82,32,0.279,0.35,0.454,0.804,6466,73,87,54,136,1687,1.06,2574,68,0.302,28.94
2003,9,,Houston Astros,NL,162,5583,805,1466,308,30,191,763,557,1021,66,30,0.263,0.336,0.431,0.767,6320,81,61,38,125,1612,1.02,2407,44,0.289,29.23
2003,10,,Toronto Blue Jays,AL,162,5661,894,1580,357,33,190,853,546,1081,37,25,0.279,0.349,0.455,0.804,6364,90,11,56,146,1501,0.96,2573,40,0.313,29.8
2003,11,,Cincinnati Reds,NL,162,5509,694,1349,239,21,182,669,524,1326,80,34,0.245,0.318,0.395,0.713,6211,79,66,32,102,1496,1.04,2176,34,0.289,30.27
2003,12,,San Francisco Giants,NL,161,5456,755,1440,281,29,180,713,593,980,53,37,0.264,0.338,0.425,0.763,6204,40,76,39,130,1598,1.03,2319,79,0.291,30.31
2003,13,,Oakland Athletics,AL,162,5497,768,1398,317,24,176,742,556,898,48,14,0.254,0.327,0.417,0.744,6189,59,22,53,118,1589,0.94,2291,52,0.273,31.23
